Filename,Anomaly Score,Prediction
144.jpg,0.09482901877215744,Normal
42.jpg,0.10437195058285392,Normal
157.jpg,0.10429278221015376,Normal
151.jpg,0.0134706898287138,Normal
103.jpg,0.09783247965466801,Normal
104.jpg,0.046993829569992096,Normal
92.jpg,0.05305436674762992,Normal
100.jpg,0.07986439864479572,Normal
79.jpg,0.0022234274078578586,Normal
129.jpg,0.09384327245652402,Normal
97.jpg,0.08608404850880425,Normal
19.jpg,0.0971924196262926,Normal
152.jpg,0.08285259120804295,Normal
146.jpg,0.09021632714128153,Normal
70.jpg,0.10272773856443357,Normal
9.jpg,0.08044676335593487,Normal
91.jpg,0.09355871722521197,Normal
34.jpg,0.023896821209127173,Normal
53.jpg,0.08587655208015355,Normal
94.jpg,0.11189890677104292,Normal
36.jpg,0.06906753555406026,Normal
55.jpg,0.10023448692545195,Normal
153.jpg,0.07573428695126244,Normal
98.jpg,0.10420905078240927,Normal
51.jpg,0.10642890832961927,Normal
16.jpg,0.08817089833032699,Normal
106.jpg,0.08764896191287869,Normal
cosmo-galaxy-space-stars-wallpaper-preview.jpg,0.11614500343885914,Normal
47.jpg,-0.0004233477412999287,Anomaly
11.jpg,0.12016462041426679,Normal
20.jpg,0.08020540565428841,Normal
52.jpg,0.1040582741633484,Normal
60.jpg,0.013768640626881434,Normal
61.jpg,0.08437991287607527,Normal
149.jpg,0.11002496891536995,Normal
86.jpg,0.10589198077126322,Normal
75.jpg,0.012347260440198238,Normal
24.jpg,0.04385781787240933,Normal
109.jpg,0.10976556753708216,Normal
127.jpg,0.09300444504093919,Normal
116.jpg,0.0935329736551655,Normal
17.jpg,0.09354666240557713,Normal
137.jpg,0.022289464639087708,Normal
67.jpg,0.05297235728746186,Normal
69.jpg,0.09497222944707367,Normal
68.jpg,0.03261193562450038,Normal
113.jpg,0.10717794271317765,Normal
160.jpg,0.03133915299580664,Normal
6.jpg,0.10099692019138867,Normal
128.jpg,0.07393399741433337,Normal
73.jpg,0.09031757949135494,Normal
59.jpg,0.09066829809580629,Normal
38.jpg,0.05969014206483442,Normal
46.jpg,0.08070969752629165,Normal
162.jpg,0.08746120613233344,Normal
141.jpg,-0.0017184637128535574,Anomaly
48.jpg,0.0626456414978393,Normal
4.jpg,0.02955123586959174,Normal
15.jpg,-0.02066233255780303,Anomaly
41.jpg,0.08004357409894725,Normal
10.jpg,0.0012700432238997306,Normal
147.jpg,0.09486133742738506,Normal
158.jpg,-0.014785965808605583,Anomaly
35.jpg,0.11619805042978543,Normal
145.jpg,0.12515738069305182,Normal
136.jpg,0.11979796538079046,Normal
140.jpg,0.1059325009617153,Normal
23.jpg,0.027521210295264997,Normal
150.jpg,0.08119334632235659,Normal
39.jpg,0.06100488442448082,Normal
54.jpg,0.12629649983027896,Normal
44.jpg,0.0782894465093048,Normal
76.jpg,0.10053954702885975,Normal
